date,country,net_injection,hdd,wind_weighted,day_sin,day_cos,day_of_week,is_weekend,stock_twh_lag_1,stock_fill_rate,hdd_wind,cold_weekend,net_injection_lag_1,net_injection_lag_7,hdd_roll_mean_7,wind_roll_mean_7
2016-02-13,BE,-0.07209999999999983,14.530441677570343,41.26674270629883,0.6866759803451553,0.726963615332308,5,1,3.0113,3.0113,599.6239981171765,14.530441677570343,-0.07360000000000033,-0.022299999999999986,12.066215392521451,46.7961049761091
2016-02-14,BE,-0.06599999999999984,14.544399964809418,46.52921676635742,0.6990793005655562,0.7150441465537444,6,1,2.9392,2.9392,676.7395386992187,14.544399964809418,-0.07209999999999983,-0.0687000000000002,12.911795811993736,45.59459032331194
2016-02-15,BE,-0.10780000000000012,14.697837597131729,48.750431060791016,0.7112757519738152,0.7029130847082615,0,0,2.8732,2.8732,716.5259185216726,0.0,-0.06599999999999984,-0.06349999999999989,13.73694469162396,42.26037434169224
2016-02-16,BE,-0.09189999999999987,16.808983295224607,26.865264892578125,0.7232617254437388,0.6905740195722294,1,0,2.7654,2.7654,451.5777888011298,0.0,-0.10780000000000012,-0.05730000000000013,14.436840464254574,38.14028985159738
2016-02-17,BE,-0.08350000000000035,17.41325402893126,29.627363204956055,0.7350336741329412,0.6780306024735382,2,0,2.6735,2.6735,515.9088016953108,0.0,-0.09189999999999987,-0.059800000000000075,15.097524989422942,35.921200616019114
2016-02-18,BE,-0.09319999999999995,15.038254243135452,32.48788070678711,0.746588114532413,0.6652865452111116,3,0,2.59,2.59,488.5610098893196,0.0,-0.08350000000000035,-0.08189999999999964,15.31405773665756,36.46059553963797
2016-02-19,BE,-0.09269999999999978,13.479608345031739,43.482574462890625,0.7579216274973472,0.6523456189565257,4,0,2.4968,2.4968,586.1280735934445,0.0,-0.09319999999999995,-0.07360000000000033,15.216111307404935,38.4299248286656
2016-02-20,BE,-0.027100000000000346,8.966379094123841,52.09188461303711,0.7690308592589181,0.6392116531380588,5,1,2.4041,2.4041,467.07558516784735,8.966379094123841,-0.09269999999999978,-0.07209999999999983,14.421245224055435,39.97637367248535
2016-02-21,BE,-0.031799999999999606,6.411691665649414,55.82902145385742,0.7799125224167177,0.6258885343075018,6,1,2.377,2.377,357.95847155705997,6.411691665649414,-0.027100000000000346,-0.06599999999999984,13.259429752746863,41.30491719927107
2016-02-22,BE,-0.01130000000000031,9.365649867057801,51.67599105834961,0.7905633969115482,0.612380204990065,0,0,2.3452,2.3452,483.97923878571214,0.0,-0.031799999999999606,-0.10780000000000012,12.49768864845059,41.72285434177944
2016-02-23,BE,-0.04800000000000004,12.75856660604477,30.752090454101562,0.8009803309782905,0.5986906625177214,1,0,2.3339,2.3339,392.35259433376837,0.0,-0.01130000000000031,-0.09189999999999987,11.91905769285347,42.278115136282786
2016-02-24,BE,-0.05799999999999983,15.059920847415924,15.34968376159668,0.8111602420785621,0.5848239578463322,2,0,2.2859,2.2859,231.16502248251152,0.0,-0.04800000000000004,-0.08350000000000035,11.582867238351279,40.2384466443743
2016-02-25,BE,-0.041300000000000114,15.811691662669181,22.96111488342285,0.8211001178128892,0.5707841943569036,3,0,2.2279,2.2279,363.05406876780637,0.0,-0.05799999999999983,-0.09319999999999995,11.693358298284666,38.87748009817941
2016-02-26,BE,-0.04269999999999996,15.05242074728012,23.93390655517578,0.8307970168121247,0.5565755266413303,4,0,2.1866,2.1866,360.2632315945916,0.0,-0.041300000000000114,-0.09269999999999978,11.918045784320151,36.084813254220144
2016-02-27,BE,-0.026100000000000012,14.908774936199189,41.38121032714844,0.8402480696078469,0.5422021592729844,5,1,2.1439,2.1439,616.9431513549777,14.908774936199189,-0.04269999999999996,-0.027100000000000346,12.766959476045201,34.55471692766462
2016-02-28,BE,-0.02839999999999998,14.851587611436845,43.787010192871094,0.8494504794814806,0.527668345562516,6,1,2.1178,2.1178,650.3066181223031,14.851587611436845,-0.026100000000000012,-0.031799999999999606,13.972658896871977,32.834429604666575
2016-02-29,BE,-0.05099999999999971,15.299295777082444,37.68840408325195,0.8584015232918917,0.512978386299228,0,0,2.0894,2.0894,576.6060414358733,0.0,-0.02839999999999998,-0.01130000000000031,14.820322598304069,30.83620289393834
2016-03-01,BE,-0.03710000000000013,14.516795790195465,48.32589340209961,0.8670985522812081,0.4981366284784055,1,0,2.0384,2.0384,701.5371258970343,0.0,-0.05099999999999971,-0.04800000000000004,15.071498196039881,33.346746172223774
2016-03-02,BE,-0.03160000000000007,11.104816675186157,50.94349670410156,0.8755389928586302,0.4831474640149687,2,0,2.0013,2.0013,565.7181916919981,0.0,-0.03710000000000013,-0.05799999999999983,14.50648331429277,38.431576592581614
2016-03-03,BE,-0.052000000000000046,13.69627503156662,39.518096923828125,0.8837203473619977,0.4680153284438345,3,0,1.9697,1.9697,541.2507241928568,0.0,-0.03160000000000007,-0.041300000000000114,14.204280938420977,40.79685974121094
2016-03-04,BE,-0.0371999999999999,13.8831498503685,48.63331985473633,0.8916401947968874,0.45274469960737107,4,0,1.9177,1.9177,675.1836672642061,0.0,-0.052000000000000046,-0.04269999999999996,14.037242238862174,44.32534735543387
2016-03-05,BE,-0.02400000000000002,15.483149993419648,42.87628173828125,0.8992961915530253,0.4373400963303323,5,1,1.8805,1.8805,663.8599013139283,15.483149993419648,-0.0371999999999999,-0.026100000000000012,14.119295818465096,44.5389289855957
2016-03-06,BE,-0.005400000000000071,13.905754113197327,46.98379135131836,0.9066860720977985,0.4218060770826634,6,1,1.8565,1.8565,653.3450498372002,13.905754113197327,-0.02400000000000002,-0.02839999999999998,13.984176747288021,44.99561200823103
2016-03-07,BE,-0.029199999999999893,15.350858318805695,31.73109245300293,0.9138076496466615,0.40614723863057883,0,0,1.8511,1.8511,487.09950454697264,0.0,-0.005400000000000071,-0.05099999999999971,13.991542824677058,44.14456748962402
2016-03-08,BE,-0.03760000000000008,14.630545753240586,32.76197814941406,0.9206588168102428,0.3903682146763026,1,0,1.8219,1.8219,479.3256202816708,0.0,-0.029199999999999893,-0.03710000000000013,14.00779281939779,41.92115102495466
2016-03-09,BE,-0.03859999999999997,12.401691639423369,52.432861328125,0.9272375462179537,0.374473674486883,2,0,1.7843,1.7843,650.2561779640527,0.0,-0.03760000000000008,-0.03160000000000007,14.193060671431677,42.133917399815154
2016-03-10,BE,-0.03269999999999995,12.912941431999206,24.850431442260742,0.9335418911179212,0.35846832151248087,3,0,1.7457,1.7457,320.8921657738245,0.0,-0.03859999999999997,-0.052000000000000046,14.081155871493477,40.0385366167341
2016-03-11,BE,-0.04160000000000008,12.412525093555452,23.584808349609375,0.9395699859530622,0.342356891994542,4,0,1.713,1.713,292.7470254662225,0.0,-0.03269999999999995,-0.0371999999999999,13.871066620520184,36.460177830287385
2016-03-12,BE,0.0038000000000000256,12.7836705327034,24.251283645629883,0.945320046913132,0.3261441535642696,5,1,1.6714,1.6714,310.02042012087065,12.7836705327034,-0.04160000000000008,-0.02400000000000002,13.485426697560717,33.79946381705148
2016-03-13,BE,-0.0032000000000000917,12.523254013061523,32.74417495727539,0.9507903724625832,0.3098349038318025,6,1,1.6752,1.6752,410.06362043808764,12.523254013061523,0.0038000000000000256,-0.005400000000000071,13.287926683255606,31.76523290361677
2016-03-14,BE,-0.026000000000000023,13.62210829257965,36.15805435180664,0.9559793438440766,0.2934339689665273,0,0,1.672,1.672,492.54893202929094,0.0,-0.0032000000000000917,-0.029199999999999893,13.040962393794741,32.3976560320173
2016-03-15,BE,-0.023399999999999865,12.591379082202911,32.682762145996094,0.9608854255574977,0.27694620226893646,1,0,1.646,1.646,411.52104763370835,0.0,-0.026000000000000023,-0.03760000000000008,12.749652869360787,32.386339460100444
2016-03-16,BE,-0.050000000000000044,12.032108306884766,35.37721252441406,0.9655071658143364,0.2603764827344581,2,0,1.6226,1.6226,425.6624526894302,0.0,-0.023399999999999865,-0.03859999999999997,12.696855250426703,29.949818202427455
2016-03-17,BE,-0.03709999999999991,12.288566541671752,30.455659866333008,0.969843196967294,0.24372971360968387,3,0,1.5726,1.5726,374.25640283795497,0.0,-0.050000000000000044,-0.03269999999999995,12.607658837522779,30.750565120152064
2016-03-18,BE,-0.03990000000000005,13.058462500572205,30.121912002563477,0.9738922359149924,0.22701082094141847,4,0,1.5355,1.5355,393.34585833101096,0.0,-0.03709999999999991,-0.04160000000000008,12.699935609953744,31.68443707057408
2016-03-19,BE,-0.011700000000000044,11.976066374778748,29.515607833862305,0.9776530844816641,0.2102247521189836,5,1,1.4956,1.4956,353.4808785102745,11.976066374778748,-0.03990000000000005,0.0038000000000000256,12.58456358739308,32.43648338317871
