date,country,source,temp_weighted,wind_weighted
2015-01-01,BE,history,1.5711208760738373,49.209510803222656
2015-01-02,BE,history,5.934558153152466,58.294437408447266
2015-01-03,BE,history,2.529558396339416,33.80934524536133
2015-01-04,BE,history,2.7339332938194274,30.07670021057129
2015-01-05,BE,history,0.8759124651551246,27.0
2015-01-06,BE,history,1.49684996008873,39.64088439941406
2015-01-07,BE,history,2.406120777130127,45.572357177734375
2015-01-08,BE,history,6.402266597747803,47.11463165283203
2015-01-09,BE,history,9.257787561416626,57.4941520690918
2015-01-10,BE,history,9.596537923812866,63.099693298339844
2015-01-11,BE,history,4.90205854177475,57.635986328125
2015-01-12,BE,history,8.051849603652954,56.5383415222168
2015-01-13,BE,history,8.994350290298462,55.45051574707031
2015-01-14,BE,history,4.3558080196380615,53.18383026123047
2015-01-15,BE,history,7.989558410644531,62.68756103515625
2015-01-16,BE,history,5.162892055511475,53.699161529541016
2015-01-17,BE,history,1.8810166537761688,43.33329391479492
2015-01-18,BE,history,1.820912355184555,33.3422966003418
2015-01-19,BE,history,0.8737250082194805,20.421871185302734
2015-01-20,BE,history,0.13778753019869328,31.353084564208984
2015-01-21,BE,history,0.08726665349677205,33.16691970825195
2015-01-22,BE,history,-0.6681500017642975,27.103002548217773
2015-01-23,BE,history,-0.3462750107049942,38.936622619628906
2015-01-24,BE,history,1.5630999967455863,45.3657112121582
2015-01-25,BE,history,2.8418499350547792,32.84691619873047
2015-01-26,BE,history,5.382474803924561,40.571537017822266
2015-01-27,BE,history,3.7357043027877808,35.572662353515625
2015-01-28,BE,history,4.456433522701263,57.749427795410156
2015-01-29,BE,history,2.3695582747459407,55.64300537109375
2015-01-30,BE,history,1.314870819449425,42.73701858520508
2015-01-31,BE,history,0.9186208635568619,49.79204559326172
2015-02-01,BE,history,2.04966244995594,56.18999099731445
2015-02-02,BE,history,0.7762249588966369,44.53535842895508
2015-02-03,BE,history,0.082891636621207,35.246925354003906
2015-02-04,BE,history,-0.33981664991006255,34.516849517822266
2015-02-05,BE,history,-1.724712383747101,45.42424011230469
2015-02-06,BE,history,-1.1414834290742875,48.8447151184082
2015-02-07,BE,history,0.8238291844725608,41.04631042480469
2015-02-08,BE,history,3.755495810508728,47.52545166015625
2015-02-09,BE,history,3.7977874517440795,29.592350006103516
2015-02-10,BE,history,4.7463292360305775,19.21199607849121
2015-02-11,BE,history,4.0372667670249935,17.057313919067383
2015-02-12,BE,history,2.1975790083408353,18.331741333007812
2015-02-13,BE,history,5.307578945159912,42.08921813964844
2015-02-14,BE,history,7.102682995796203,31.435646057128906
2015-02-15,BE,history,4.5464331865310665,23.141029357910156
2015-02-16,BE,history,3.159975051879883,24.087738037109375
2015-02-17,BE,history,4.297058343887329,33.83425521850586
2015-02-18,BE,history,1.782787501811981,31.25994110107422
2015-02-19,BE,history,4.15997508764267,42.48152542114258
2015-02-20,BE,history,5.540079092979431,44.45671844482422
2015-02-21,BE,history,3.4774748206138613,27.105392456054688
2015-02-22,BE,history,2.799454402923584,56.10920715332031
2015-02-23,BE,history,5.406433057785034,53.63154220581055
2015-02-24,BE,history,4.783828949928283,52.005985260009766
2015-02-25,BE,history,3.6313293814659113,35.036712646484375
2015-02-26,BE,history,6.09841251373291,39.107666015625
2015-02-27,BE,history,4.306224942207336,39.46394729614258
2015-02-28,BE,history,4.464766800403595,47.406681060791016
2015-03-01,BE,history,8.221641683578492,51.21751022338867
2015-03-02,BE,history,5.18945415019989,51.54164123535156
2015-03-03,BE,history,4.249974942207336,42.2060661315918
2015-03-04,BE,history,3.920495724678039,41.773963928222656
2015-03-05,BE,history,4.423621201515198,23.784530639648438
2015-03-06,BE,history,4.988933300971985,29.592350006103516
2015-03-07,BE,history,7.646849536895752,35.45588684082031
2015-03-08,BE,history,8.591433429718018,31.253719329833984
2015-03-09,BE,history,8.659037971496582,33.626773834228516
2015-03-10,BE,history,8.042162680625914,32.69664001464844
2015-03-11,BE,history,4.31080846786499,22.864959716796875
2015-03-12,BE,history,5.632891988754273,31.235057830810547
2015-03-13,BE,history,4.952787566184998,31.90217399597168
2015-03-14,BE,history,4.441224980354309,33.971866607666016
2015-03-15,BE,history,4.863412237167358,35.20829391479492
2015-03-16,BE,history,5.688829112052917,26.368616104125977
2015-03-17,BE,history,8.042057919502259,23.469127655029297
2015-03-18,BE,history,7.649245238304138,34.217044830322266
2015-03-19,BE,history,6.981329274177551,32.10667037963867
2015-03-20,BE,history,6.7184125661849965,31.559085845947266
2015-03-21,BE,history,5.9890374660491945,43.91999816894531
2015-03-22,BE,history,5.133308410644531,38.741416931152344
2015-03-23,BE,history,4.859870958328247,21.470611572265625
2015-03-24,BE,history,5.906016397476196,23.110206604003906
2015-03-25,BE,history,5.241016960144042,33.19035720825195
2015-03-26,BE,history,4.671433281898499,44.25511169433594
2015-03-27,BE,history,5.9140376329421995,42.347084045410156
2015-03-28,BE,history,7.6721625328063965,49.92591094970703
2015-03-29,BE,history,9.319454145431518,62.17169952392578
2015-03-30,BE,history,7.4615375041961665,60.219078063964844
2015-03-31,BE,history,9.011745977401732,61.635738372802734
2015-04-01,BE,history,6.231329131126404,56.93238067626953
2015-04-02,BE,history,5.8445580244064335,43.07080841064453
2015-04-03,BE,history,4.926954054832459,27.75737762451172
2015-04-04,BE,history,5.464974975585937,33.01417541503906
2015-04-05,BE,history,5.009245920181275,23.358423233032227
2015-04-06,BE,history,4.990912628173828,26.081993103027344
2015-04-07,BE,history,6.709037399291992,8.91318130493164
2015-04-08,BE,history,8.503724765777587,21.26134490966797
2015-04-09,BE,history,10.546328830718995,19.469974517822266
2015-04-10,BE,history,12.55643367767334,19.602651596069336
2015-04-11,BE,history,10.376641273498535,42.77187728881836
2015-04-12,BE,history,9.88664221763611,43.92885208129883
2015-04-13,BE,history,9.537579822540284,27.255590438842773
2015-04-14,BE,history,12.908203649520873,29.024127960205078
2015-04-15,BE,history,14.976954460144043,29.784425735473633
2015-04-16,BE,history,11.889349889755248,35.19172286987305
2015-04-17,BE,history,9.387371015548707,38.961578369140625
